check_id,category,source,document,location,check_type,expected,observed,passed,details
supplement.table_s2_semantic_note,data_integrity,W1_table_s2_audit/eicu_table_s2_verified.csv,JTIM_Revised_Supplementary_material.docx,Table S2 note,anchored_text_tokens,"[""chronic pulmonary disease variables were unavailable"", ""broader eICU pulmonary diagnosis category was not substituted""]","Data are presented as No. (%). The AmsterdamUMCdb (AUMC) dataset is excluded from this table because compatible ICD diagnosis codes were unavailable. For eICU-CRD, em dashes indicate that compatible peripheral vascular, cerebrovascular, or chronic pulmonary disease variables were unavailable; the broader eICU pulmonary diagnosis category was not substituted for chronic pulmonary disease. P-values were calculated using the Chi-square test or Fisher's exact test. Abbreviations: RR, Rapid Recovery; DR, Delayed Recovery; PW, Progressive Worsening.",True,all expected source-derived tokens present
response.table_s2_disclosure,data_integrity,W1_table_s2_audit/eicu_table_s2_verified.csv,JTIM_Point-by-point_Response.docx,E.1 response,anchored_text_tokens,"[""N=1,417"", ""legacy"", ""descriptive"", ""not used""]","Final quality control also identified that the eICU-CRD block of Table S2 combined the current N=1,417 denominators (RR 869, DR 423, and PW 125) with comorbidity counts retained from a legacy approximately 1,970-patient export. We regenerated the entire eICU-CRD block from the authoritative N=1,417 aggregate and rechecked every count and percentage against its current denominator. Compatible eICU-CRD variables for peripheral vascular, cerebrovascular, and chronic pulmonary disease were unavailable; we therefore show these entries as unavailable and did not substitute the broader eICU pulmonary diagnosis category for chronic pulmonary disease. Table S2 is descriptive and was not used in clustering, outcome, diuretic, or classifier analyses; consequently, this correction did not alter any analytic input, model, or study result.",True,all expected source-derived tokens present
supplement.table_s15d,cluster_selection,W3_fresh_k_grid/fresh_k_grid_summary.csv,JTIM_Revised_Supplementary_material.docx,Table S15d,table_cell_identity,13 rows; 117 cells,13 rows; 117 cells,True,"{""matching_tables"": 1, ""selected_occurrence"": 0, ""mismatch_count"": 0, ""mismatches"": []}"
supplement.table_s15e,cluster_selection,W3_deep_k_stability/deep_k_cohort_summary.csv,JTIM_Revised_Supplementary_material.docx,Table S15e,table_cell_identity,4 rows; 48 cells,4 rows; 48 cells,True,"{""matching_tables"": 1, ""selected_occurrence"": 0, ""mismatch_count"": 0, ""mismatches"": []}"
supplement.table_s15f,robustness,W3_deep_robustness/deep_robustness_scenario_summary.csv,JTIM_Revised_Supplementary_material.docx,Table S15f,table_cell_identity,7 rows; 91 cells,7 rows; 91 cells,True,"{""matching_tables"": 1, ""selected_occurrence"": 0, ""mismatch_count"": 0, ""mismatches"": []}"
supplement.table_s15g,robustness,W3_cross_cohort_robustness/cross_cohort_robustness_metrics.csv,JTIM_Revised_Supplementary_material.docx,Table S15g,table_cell_identity,16 rows; 160 cells,16 rows; 160 cells,True,"{""matching_tables"": 1, ""selected_occurrence"": 0, ""mismatch_count"": 0, ""mismatches"": []}"
supplement.table_s16,urine_output_sensitivity,W3_uo_multiseed_sensitivity/uo_multiseed_scenario_summary.csv,JTIM_Revised_Supplementary_material.docx,Table S16,table_cell_identity,3 rows; 51 cells,3 rows; 51 cells,True,"{""matching_tables"": 1, ""selected_occurrence"": 0, ""mismatch_count"": 0, ""mismatches"": []}"
supplement.table_s17a,classifier,W4_classifier_validation/archived_xgboost_bag_l2_metrics.csv,JTIM_Revised_Supplementary_material.docx,Table S17a,table_cell_identity,3 rows; 24 cells,3 rows; 24 cells,True,"{""matching_tables"": 1, ""selected_occurrence"": 0, ""mismatch_count"": 0, ""mismatches"": []}"
supplement.table_s17b,classifier,W4_classifier_validation/primary_and_comparator_metrics.csv,JTIM_Revised_Supplementary_material.docx,Table S17b,table_cell_identity,5 rows; 35 cells,5 rows; 35 cells,True,"{""matching_tables"": 1, ""selected_occurrence"": 0, ""mismatch_count"": 0, ""mismatches"": []}"
supplement.table_s17c,classifier,W4_classifier_validation/revalidation_class_metrics.csv,JTIM_Revised_Supplementary_material.docx,Table S17c,table_cell_identity,7 rows; 77 cells,7 rows; 77 cells,True,"{""matching_tables"": 1, ""selected_occurrence"": 0, ""mismatch_count"": 0, ""mismatches"": []}"
supplement.table_s18,mortality,W5_independent_outcomes/outcome_adjusted_effects.csv,JTIM_Revised_Supplementary_material.docx,Table S18,table_cell_identity,7 rows; 56 cells,7 rows; 56 cells,True,"{""matching_tables"": 1, ""selected_occurrence"": 0, ""mismatch_count"": 0, ""mismatches"": []}"
supplement.table_s19,diuretic,W6_diuretic_exploratory/early_first_dose_pooled_models.csv,JTIM_Revised_Supplementary_material.docx,Table S19,table_cell_identity,7 rows; 63 cells,7 rows; 63 cells,True,"{""matching_tables"": 1, ""selected_occurrence"": 0, ""mismatch_count"": 0, ""mismatches"": []}"
supplement.table_s3_rr_part1,longitudinal_tables,harmonized_longitudinal_tables/Table_S3_MIMIC-IV.csv,JTIM_Revised_Supplementary_material.docx,Corrected S3_RR_part1,table_cell_identity,21 rows; 210 cells,21 rows; 210 cells,True,"{""matching_tables"": 18, ""selected_occurrence"": 0, ""mismatch_count"": 0, ""mismatches"": []}"
supplement.table_s3_rr_part2,longitudinal_tables,harmonized_longitudinal_tables/Table_S3_MIMIC-IV.csv,JTIM_Revised_Supplementary_material.docx,Corrected S3_RR_part2,table_cell_identity,16 rows; 160 cells,16 rows; 160 cells,True,"{""matching_tables"": 18, ""selected_occurrence"": 1, ""mismatch_count"": 0, ""mismatches"": []}"
supplement.table_s3_dr_part1,longitudinal_tables,harmonized_longitudinal_tables/Table_S3_MIMIC-IV.csv,JTIM_Revised_Supplementary_material.docx,Corrected S3_DR_part1,table_cell_identity,21 rows; 210 cells,21 rows; 210 cells,True,"{""matching_tables"": 18, ""selected_occurrence"": 2, ""mismatch_count"": 0, ""mismatches"": []}"
supplement.table_s3_dr_part2,longitudinal_tables,harmonized_longitudinal_tables/Table_S3_MIMIC-IV.csv,JTIM_Revised_Supplementary_material.docx,Corrected S3_DR_part2,table_cell_identity,16 rows; 160 cells,16 rows; 160 cells,True,"{""matching_tables"": 18, ""selected_occurrence"": 3, ""mismatch_count"": 0, ""mismatches"": []}"
supplement.table_s3_pw_part1,longitudinal_tables,harmonized_longitudinal_tables/Table_S3_MIMIC-IV.csv,JTIM_Revised_Supplementary_material.docx,Corrected S3_PW_part1,table_cell_identity,21 rows; 210 cells,21 rows; 210 cells,True,"{""matching_tables"": 18, ""selected_occurrence"": 4, ""mismatch_count"": 0, ""mismatches"": []}"
supplement.table_s3_pw_part2,longitudinal_tables,harmonized_longitudinal_tables/Table_S3_MIMIC-IV.csv,JTIM_Revised_Supplementary_material.docx,Corrected S3_PW_part2,table_cell_identity,16 rows; 160 cells,16 rows; 160 cells,True,"{""matching_tables"": 18, ""selected_occurrence"": 5, ""mismatch_count"": 0, ""mismatches"": []}"
supplement.table_s4_rr_part1,longitudinal_tables,harmonized_longitudinal_tables/Table_S4_AUMC.csv,JTIM_Revised_Supplementary_material.docx,Corrected S4_RR_part1,table_cell_identity,21 rows; 210 cells,21 rows; 210 cells,True,"{""matching_tables"": 18, ""selected_occurrence"": 6, ""mismatch_count"": 0, ""mismatches"": []}"
supplement.table_s4_rr_part2,longitudinal_tables,harmonized_longitudinal_tables/Table_S4_AUMC.csv,JTIM_Revised_Supplementary_material.docx,Corrected S4_RR_part2,table_cell_identity,16 rows; 160 cells,16 rows; 160 cells,True,"{""matching_tables"": 18, ""selected_occurrence"": 7, ""mismatch_count"": 0, ""mismatches"": []}"
supplement.table_s4_dr_part1,longitudinal_tables,harmonized_longitudinal_tables/Table_S4_AUMC.csv,JTIM_Revised_Supplementary_material.docx,Corrected S4_DR_part1,table_cell_identity,21 rows; 210 cells,21 rows; 210 cells,True,"{""matching_tables"": 18, ""selected_occurrence"": 8, ""mismatch_count"": 0, ""mismatches"": []}"
supplement.table_s4_dr_part2,longitudinal_tables,harmonized_longitudinal_tables/Table_S4_AUMC.csv,JTIM_Revised_Supplementary_material.docx,Corrected S4_DR_part2,table_cell_identity,16 rows; 160 cells,16 rows; 160 cells,True,"{""matching_tables"": 18, ""selected_occurrence"": 9, ""mismatch_count"": 0, ""mismatches"": []}"
supplement.table_s4_pw_part1,longitudinal_tables,harmonized_longitudinal_tables/Table_S4_AUMC.csv,JTIM_Revised_Supplementary_material.docx,Corrected S4_PW_part1,table_cell_identity,21 rows; 210 cells,21 rows; 210 cells,True,"{""matching_tables"": 18, ""selected_occurrence"": 10, ""mismatch_count"": 0, ""mismatches"": []}"
supplement.table_s4_pw_part2,longitudinal_tables,harmonized_longitudinal_tables/Table_S4_AUMC.csv,JTIM_Revised_Supplementary_material.docx,Corrected S4_PW_part2,table_cell_identity,16 rows; 160 cells,16 rows; 160 cells,True,"{""matching_tables"": 18, ""selected_occurrence"": 11, ""mismatch_count"": 0, ""mismatches"": []}"
supplement.table_s5_rr_part1,longitudinal_tables,harmonized_longitudinal_tables/Table_S5_eICU-CRD.csv,JTIM_Revised_Supplementary_material.docx,Corrected S5_RR_part1,table_cell_identity,21 rows; 210 cells,21 rows; 210 cells,True,"{""matching_tables"": 18, ""selected_occurrence"": 12, ""mismatch_count"": 0, ""mismatches"": []}"
supplement.table_s5_rr_part2,longitudinal_tables,harmonized_longitudinal_tables/Table_S5_eICU-CRD.csv,JTIM_Revised_Supplementary_material.docx,Corrected S5_RR_part2,table_cell_identity,16 rows; 160 cells,16 rows; 160 cells,True,"{""matching_tables"": 18, ""selected_occurrence"": 13, ""mismatch_count"": 0, ""mismatches"": []}"
supplement.table_s5_dr_part1,longitudinal_tables,harmonized_longitudinal_tables/Table_S5_eICU-CRD.csv,JTIM_Revised_Supplementary_material.docx,Corrected S5_DR_part1,table_cell_identity,21 rows; 210 cells,21 rows; 210 cells,True,"{""matching_tables"": 18, ""selected_occurrence"": 14, ""mismatch_count"": 0, ""mismatches"": []}"
supplement.table_s5_dr_part2,longitudinal_tables,harmonized_longitudinal_tables/Table_S5_eICU-CRD.csv,JTIM_Revised_Supplementary_material.docx,Corrected S5_DR_part2,table_cell_identity,16 rows; 160 cells,16 rows; 160 cells,True,"{""matching_tables"": 18, ""selected_occurrence"": 15, ""mismatch_count"": 0, ""mismatches"": []}"
supplement.table_s5_pw_part1,longitudinal_tables,harmonized_longitudinal_tables/Table_S5_eICU-CRD.csv,JTIM_Revised_Supplementary_material.docx,Corrected S5_PW_part1,table_cell_identity,21 rows; 210 cells,21 rows; 210 cells,True,"{""matching_tables"": 18, ""selected_occurrence"": 16, ""mismatch_count"": 0, ""mismatches"": []}"
supplement.table_s5_pw_part2,longitudinal_tables,harmonized_longitudinal_tables/Table_S5_eICU-CRD.csv,JTIM_Revised_Supplementary_material.docx,Corrected S5_PW_part2,table_cell_identity,16 rows; 160 cells,16 rows; 160 cells,True,"{""matching_tables"": 18, ""selected_occurrence"": 17, ""mismatch_count"": 0, ""mismatches"": []}"
supplement.figure_s2,cluster_selection,figures_redrawn_20260813/Figure_S2_candidate_K_evidence.png,JTIM_Revised_Supplementary_material.docx,Figure S2,embedded_asset_sha256,f05c6bd90dde2607f755f9b57cbf196dd1d194b40e84a925cc5fa83cbaafbc05,f05c6bd90dde2607f755f9b57cbf196dd1d194b40e84a925cc5fa83cbaafbc05,True,exact byte identity between released source figure and DOCX media
supplement.figure_s10,robustness,figures_redrawn_20260813/Figure_S10_cross_cohort_processing_sensitivity.png,JTIM_Revised_Supplementary_material.docx,Figure S10,embedded_asset_sha256,7e12ab5af4960383cdb4b58be528915eddf4affaf25980478fe6c2e8675245dc,7e12ab5af4960383cdb4b58be528915eddf4affaf25980478fe6c2e8675245dc,True,exact byte identity between released source figure and DOCX media
supplement.figure_s11a,missingness_sensitivity,figures_redrawn_20260813/Figure_S11a_documented_window_sensitivity.png,JTIM_Revised_Supplementary_material.docx,Figure S11a,embedded_asset_sha256,f1148929181982a83de8163fb069e617b66510d78da586c129fa4c3e57aff693,f1148929181982a83de8163fb069e617b66510d78da586c129fa4c3e57aff693,True,exact byte identity between released source figure and DOCX media
supplement.figure_s11b,missingness_sensitivity,figures_redrawn_20260813/Figure_S11b_high_coverage_sensitivity.png,JTIM_Revised_Supplementary_material.docx,Figure S11b,embedded_asset_sha256,f76e7b6b45d1e58ba9dd31dcb7a82504200b93c4b1cc13ebfbb6fc505c86991a,f76e7b6b45d1e58ba9dd31dcb7a82504200b93c4b1cc13ebfbb6fc505c86991a,True,exact byte identity between released source figure and DOCX media
supplement.figure_s12,classifier,figures_redrawn_20260813/Figure_S12_calibration_archived_vs_comparator.png,JTIM_Revised_Supplementary_material.docx,Figure S12,embedded_asset_sha256,35487e6f9654c1897f8c6e35700ab5ff31ddb1b91a95a690fe25bf592d8ad398,35487e6f9654c1897f8c6e35700ab5ff31ddb1b91a95a690fe25bf592d8ad398,True,exact byte identity between released source figure and DOCX media
supplement.figure_s13,landmark_outcomes,figures_redrawn_20260813/Figure_S13_adjusted_mortality_landmarks.png,JTIM_Revised_Supplementary_material.docx,Figure S13,embedded_asset_sha256,4d3a42ebb43f04136ef287a4d4fbb350ecc252b8c301bc09278e117fb1977bc3,4d3a42ebb43f04136ef287a4d4fbb350ecc252b8c301bc09278e117fb1977bc3,True,exact byte identity between released source figure and DOCX media
supplement.figure_s14,diuretic,figures_redrawn_20260813/Figure_S14_diuretic_response_landmark.png,JTIM_Revised_Supplementary_material.docx,Figure S14,embedded_asset_sha256,1ab493a19a2ed7d611ca501d0e4c8fb372254098476bd8aef0080078e0c0f225,1ab493a19a2ed7d611ca501d0e4c8fb372254098476bd8aef0080078e0c0f225,True,exact byte identity between released source figure and DOCX media
manuscript.clean_vs_highlight_numeric_sequence,cross_document_identity,JTIM_Revised_Manuscript_clean.docx,JTIM_Revised_Manuscript_highlight.docx,whole document,numeric_token_sequence_identity,1321 numeric tokens,1321 numeric tokens,True,clean and highlighted manuscripts must contain the same numeric sequence
